Thanh phan,Thong tin,Thong tin lien quan voi cac thanh phan khac
Mat cat ngang,Ten mat cat,
,Loai mat cat,
,Thoi gian them moi,
,Nguoi khoi tao,
,Thoi gian cap nhat,
,Nguoi cap nhat,
,Phe duyet,
,Thoi gian phe duyet,
,Nguoi phe duyet,
,Tinh/Thanh pho,
,Quan/Huyen,
,Phuong/Xa,
,,
Nha may xu ly nuoc thai,Ma nha may/tram XLNT,
,Ten nha may/tram XLNT,
,Ma phan loai nha may/tram,
,Ma tuyen thoat nuoc,
,Ma hop dong quan ly,
,Ma vung thoat nuoc,
,Ma luu vuc thoat nuoc,
,Danh muc he thong thu gom,
,Dia chi,
,Toa do X,
,Toa do Y,
,Cong nghe xu ly,
,Cong suat thiet ke (m3/ngay dem),
,Cong suat khai thac/van hanh (m3/ngay dem),
,Giay phep xa thai/Giay phep moi truong,
,He thong thu gom,
,He thong xa nuoc thai ra moi truong,
,"Danh muc ha tang, thiet bi",
,So lieu tich hop he thong quan trac tu dong,
,"Quan ly danh muc vat tu du phong, thu hoi",
,Tinh trang hoat dong,
,So hieu duong,
,"Ngay tiep nhan, van hanh",
,"Lich su sua chua, bao duong",
,Ma don vi quan ly,
,Thoi gian them moi,
,Nguoi tao,
,Thoi gian cap nhat,
,Nguoi cap nhat,
,Phe duyet?,
,Thoi gian phe duyet,
,Nguoi phe duyet,
,Tinh/Thanh pho,
,Quan/Huyen,
,Phuong/Xa,
,,
Cua xa,Ma cua xa,Tuyen thoat nuoc
,Ten cua xa,Ho dieu hoa
,Ma tram xu ly nuoc thai,Cong thoat nuoc
,Ma don vi van hanh,
,Ma hop dong quan ly,
,Ma vung thoat nuoc,
,Ma luu vuc thoat nuoc,
,Ma he thong thu gom,
,Ma phan loai cua xa,
,Ma tuyen thoat nuoc,
,Dia chi,
,Kich thuoc (m),
,Loai cua phai,
,Lich su nao vet,
,Cao do day cua xa (m),
,Cao do muc nuoc thiet ke (m),
,Cong suat toi da (kW),
,"Lich su sua chua, thay the",
,"Ngay tiep nhan, van hanh",
,Huong tuyen thoat nuoc,
,Tinh trang hoat dong,
,So hieu duong,
,Toa do X,
,Toa do Y,
,Nguon tiep nhan,
,Ma don vi quan ly,
,Thoi gian them moi,
,Nguoi tao,
,Thoi gian cap nhat,
,Nguoi cap nhat,
,Phe duyet?,
,Thoi gian phe duyet,
,Nguoi phe duyet,
,Phuong,
,Quan/Huyen,
,Thanh Pho,
,,
Ho dieu hoa,Ma ho dieu hoa,Danh muc cua phai
,Ten ho dieu hoa,Cua xa
,Ma tuyen thoat nuoc,Dung tich ho
,Ma hop dong quan ly,
,Ma vung thoat nuoc,
,Ma luu vuc thoat nuoc,
,Ma he thong thu gom,
,Ma don vi van hanh,
,Dia chi ho,
,Nhom ho,
,Chu vi ung voi dinh bo ke (m),
,Chu vi ung voi bo co (m),
,Chu vi day ho (m),
,Dien tich ho ung voi dinh bo ke (ha),
,Dien tich ho ung voi bo co (m2),
,Dien tich day ho (ha),
,Dung tich ho ung voi dinh bo ke (m3),
,Dung tich ho ung voi bo co (m3),
,Cua phai,
,So luong cua cong ra vao ho,
,Muc nuoc khong che mua mua (m),
,Muc nuoc khong che mua kho (m),
,Cao do muc nuoc tu nhien (m),
,Cao do day (m),
,Cao do dinh bo ke (m),
,Cao do bo co (m),
,Thuy chi,
,Dai phun nuoc,
,Cong suat dai phun nuoc (kW),
,Thiet bi do muc nuoc tu dong,
,Lich su nao vet,
,Lich su xu ly chat luong nuoc,
,Dung tich hieu dung theo thuy chi (m3),
,Tinh trang hoat dong,
,"Ngay tiep nhan, van hanh",
,So hieu duong,
,So luong be thuy sinh,
,Dien tich be thuy sinh (m2),
,So luong May suc khi,
,Tong cong suat may suc khi (kW),
,"Lich su sua chua, thay the",
,Toa do X,
,Toa do Y,
,Ma don vi quan ly,
,Thoi gian them moi,
,Nguoi tao,
,Thoi gian cap nhat,
,Nguoi cap nhat,
,Phe duyet?,
,Thoi gian phe duyet,
,Nguoi phe duyet,
,Phuong,
,Quan/Huyen,
,Thanh Pho,
,,
Ho ga,Ten ho ga,Tuyen thoat nuoc
,Ma phan loai ho ga,Cong thoat nuoc
,Ma tuyen thoat nuoc,
,Ma hop dong quan ly,
,Ma vung thoat nuoc,
,Ma luu vuc thoat nuoc,
,Ma he thong thu gom,
,Dia chi,
,Dien tich ho ga (m2),
,Kich thuoc ho ga (m),
,Chung loai nap ho ga,
,Lich su nao vet,
,"Lich su sua chua, thay the",
,Tinh trang hoat dong,
,So hieu duong,
,Cao do day ga (m),
,Cao do mat duong (m),
,Toa do X,
,Toa do Y,
,Ten tuyen thoat nuoc,
,Ma don vi van hanh,
,Ma don vi quan ly,
,Thoi gian them moi,
,Nguoi tao,
,Thoi gian cap nhat,
,Nguoi cap nhat,
,Phe duyet?,
,Thoi gian phe duyet,
,Nguoi phe duyet,
,Phuong,
,Quan/Huyen,
,Thanh Pho,
,,
Tram bom thoat nuoc,Ma tram,
,Ten tram,
,Ma phan loai,
,Ma tuyen thoat nuoc,
,Ma hop dong quan ly,
,Ma vung thoat nuoc,
,Ma luu vuc thoat nuoc,
,Ma he thong thu gom,
,Cap tram,
,Dia chi,
,Cao do dau vao (m),
,Cao do dau ra (m),
,Theo doi muc nuoc tu dong,
,Danh muc thiet bi,
,Quy trinh van hanh,
,He thong cao rac/song chan rac,
,"Lich su bao duong, sua chua",
,So luong bom,
,Cong suat bom (m3/s),
,Ma don vi van hanh,
,Tinh trang hoat dong,
,"Ngay tiep nhan, van hanh",
,So hieu duong,
,Toa do X,
,Toa do Y,
,Ma don vi quan ly,
,Thoi gian them moi,
,Nguoi tao,
,Thoi gian cap nhat,
,Nguoi cap nhat,
,Phe duyet?,
,Thoi gian phe duyet,
,Nguoi phe duyet,
,Phuong,
,Quan/Huyen,
,Thanh Pho,
,,
Cong thoat nuoc,Ten cong thoat nuoc,Cua xa
,Ma phan loai,Tuyen thoat nuoc
,Ma tuyen thoat nuoc,Ho ga
,Ma don vi van hanh,
,Hinh dang,
,Kich thuoc (mm),
,Duong kinh (mm),
,Chat lieu,
,Chieu dai (m),
,Huong tuyen thoat nuoc,
,Ten tuyen duong,
,Diem bat dau,
,Diem ket thuc,
,Tinh trang hoat dong,
,Tiet dien (m2),
,Ten tuyen thoat nuoc,
,Ma don vi quan ly,
,Thoi gian them moi,
,Nguoi tao,
,Thoi gian cap nhat,
,Nguoi cap nhat,
,Phe duyet?,
,Thoi gian phe duyet,
,Nguoi phe duyet,
,Phuong,
,Quan/Huyen,
,Thanh Pho,
,,
Ranh thoat nuoc,Ten ranh thoat nuoc,Thong tin ranh thoat nuoc
,Ma tram xu ly,
,Ma tuyen thoat nuoc,
,Ma hop dong quan ly,
,Ma vung thoat nuoc,
,Ma luu vuc thoat nuoc,
,Ma he thong thu gom,
,Loai ranh thoat nuoc,
,Kich thuoc (m),
,Chat lieu,
,Chieu dai (m),
,Cao do day ranh (m),
,Do doc (%),
,Cao do muc nuoc trong long ranh (m),
,Huong tuyen thoat nuoc,
,Ten tuyen duong,
,Diem bat dau,
,Diem ket thuc,
,Tinh trang hoat dong,
,"Ngay tiep nhan, van hanh",
,So hieu duong,
,"Lich su sua chua, thay the",
,Lich su nao vet,
,Ban ve mat cat,
,Tiet dien (m2),
,Ma don vi van hanh,
,Ma don vi quan ly,
,Thoi gian them moi,
,Nguoi tao,
,Thoi gian cap nhat,
,Nguoi cap nhat,
,Phe duyet?,
,Thoi gian phe duyet,
,Nguoi phe duyet,
,Phuong,
,Quan/Huyen,
,Thanh Pho,
,,
Muong thoat nuoc,Ma muong/song thoat nuoc,
,Ma don vi van hanh,
,Ma tuyen thoat nuoc,
,Ma hop dong quan ly,
,Ma vung thoat nuoc,
,Ma luu vuc thoat nuoc,
,Ma he thong thu gom,
,"Ten muong, song",
,Huong chay,
,Diem bat dau,
,Diem ket thuc,
,Tinh trang hoat dong,
,Dap dieu tiet,
,Cao do muc nuoc thiet ke (m),
,Mat cat dien hinh,
,Loai cua phai,
,He thong cao rac,
,Cong dieu tiet,
,Cong tren muong,
,Chieu rong trung binh (m),
,Chieu dai (m),
,Chat lieu,
,Lich su nao vet,
,So hieu duong,
,Ma don vi quan ly,
,Thoi gian them moi,
,Nguoi tao,
,Thoi gian cap nhat,
,Nguoi cap nhat,
,Phe duyet?,
,Thoi gian phe duyet,
,Nguoi phe duyet,
,Phuong,
,Quan/Huyen,
,Thanh Pho,
,,
"Nao vet, van chuyen bun",Mo ta,
,Toa do x,
,Toa do y,
,Noi dung,
,Thoi gian them moi,
,Nguoi tao,
,Thoi gian cap nhat,
,Nguoi cap nhat,
,Phe duyet?,
,Thoi gian phe duyet,
,Nguoi phe duyet,
,Phuong/Xa,
,Quan/Huyen,
,Tinh/Thanh pho,
,,
Diem den ngap lut,Ma diem/Vung ngap,
,Ten diem/vung ngap,
,Ma hop dong quan ly,
,Ma vung thoat nuoc,
,Ma luu vuc thoat nuoc,
,Dia chi,
,Cao do mat duong ngap (m),
,Thoi gian ngap (phut),
,Luong mua (mm),
,Kich ban ngap,
,Dien tich vung ngap lut (m2),
,Ma don vi giai quyet/ xu ly,
    ,Ma he thong thu gom,
,Do sau ngap (m),
,Ngay cap nhat,
,So hieu duong,
,Toa do X,
,Toa do Y,
,Ma don vi van hanh,
,Ma don vi quan ly,
,Thoi gian them moi,
,Nguoi tao,
,Thoi gian cap nhat,
,Nguoi cap nhat,
,Phe duyet?,
,Thoi gian phe duyet,
,Nguoi phe duyet,
,Phuong,
,Quan/Huyen,
,Thanh Pho,
,,
Tru cuu hoa,Ma don vi quan ly,
,Ma tru cuu hoa,
,Ten tru cuu hoa,
,Ma hop dong quan ly,
,Ma don vi van hanh,
,Ma don vi giai quyet / xu ly,
,Mo ta vi tri tuong doi voi cac doi tuong khac,
,Toa do x,
,Toa do y,
,Duong ong gan tru cuu hoa,
,Duong kinh tru cuu hoa,
,Ap suat nuoc,
,Vat lieu tru cuu hoa,
,Hang san xuat,
,Xuat xu,
,Nam san xuat,
,Tieu chuan ap dung,
,"Ngay tiep nhan, van hanh",
,Don vi lap dat,
,Trang thai tru cuu hoa,
,Nguon so lieu,
,Ten tuyen duong,
,Vung cap nuoc,
,Thoi gian them moi,
,Nguoi tao,
,Thoi gian cap nhat,
,Nguoi cap nhat,
,Phe duyet?,
,Thoi gian phe duyet,
,Nguoi phe duyet,
,Phuong/Xa,
,Quan/Huyen,
,Tinh/Thanh pho,
,,
Luu vuc,Ma luu vuc,
,Ten luu vuc,
,Dia chi,
,Dien tich kiem soat luu vuc (ha),
,Ma diem dinh thuy,
,Ngay cap nhat,
,Ma phan loai,
,Mo ta luu vuc,
,Dien tich luu vuc theo quan ly ho (ha),
,Ma quan/ huyen,
,Thoi gian them moi,
,Nguoi tao,
,Thoi gian cap nhat,
,Nguoi cap nhat,
,Phe duyet?,
,Thoi gian phe duyet,
,Nguoi phe duyet,
,Phuong,
,Quan/Huyen,
,Thanh Pho,
,Dung tich luu vuc,